Timestamp,1. Gender,2. Age ,3. Where do you live? (District),4. What's your occupation?,5. What's your Education Level? ,6. What's your Monthly income?,7. How did you get to know about mobile banking?,8. How long have you been using mobile banking for?,"9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?",10. What types of accounts do you have? ,11. What is the type of bank you use for mobile banking application?,12.  What kind of operations are you doing using the mobile application? ,13. How often do you use the mobile application to do the above-mentioned tasks ?,14. How far is the bank branch where you do business (or live)?,"15. Do you generally send, receive, or do both send and receive?",16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to navigate],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to understand],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a payment],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make transfer money],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a balance inquiry],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think that you will save time by using a mobile banking application?],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?],17. Please rate your knowledge of Your Mobile banking services. ,18. How satisfied were you with the current banking application? *Both presented and pre-read material,19. How can the mobile banking apps could be improved to fit your needs well?,20. Do you recommend other users to use mobile banking apps? 
03/11/2020 23:17:05,Male,31 - 40,Kandy,Private Sector Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,1,1,1,1,1,1,1,5,5,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
03/11/2020 23:18:23,Male,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Friends,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Weekly,more than 5Km,Both,5,5,4,3,5,5,5,4,4,"Add more features, Better User Interface",Yes
05/11/2020 08:28:59,Male,19 -30,Hambantota,Private Sector Job,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Private,"Transfer money to the other accounts, Pay utility bills",Once in two weeks,1Km to 5Km,Both,3,3,3,3,3,3,3,4,4,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 08:37:39,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,3,4,3,4,3,3,3,4,3,"Lightweight and speed, Better User Interface",Yes
05/11/2020 08:42:19,Prefer not to say,19 -30,Colombo,Private Sector Job,Diploma,"100,000 - 150,000",Self,5 years or more,Separate,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,100m to 1Km,Send,1,1,1,2,3,3,3,5,1,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:43:06,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,4,4,4,4,4,5,4,4,4,"Keep it Simple, Lightweight and speed, More value added services",Yes
05/11/2020 08:43:16,Male,19 -30,Colombo,Private Sector Job,Degree or above,"200,000+",Friends,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Weekly,1Km to 5Km,Both,3,3,3,3,3,4,4,5,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:45:14,Female,19 -30,Galle,Private Sector Job,Degree or above,"Below 50,000",Internet or Article,Less than a year,,Savings Account,Private,Pay utility bills,Monthly,more than 5Km,Receive,4,4,4,4,4,4,3,4,3,"Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 08:49:54,Male,19 -30,Gampaha,Private Sector Job,Diploma,"150,000 to 200,000",Friends,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,more than 5Km,Send,1,1,1,1,1,1,1,4,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:51:08,Female,19 -30,Kegalle,Private Sector Job,Degree or above,"100,000 - 150,000",Self,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,more than 5Km,Both,4,4,4,4,4,5,4,5,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 08:51:13,Male,41 - 50,Colombo,Private Sector Job,MSc,"200,000+",Self,5 years or more,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Both,3,3,3,3,3,5,4,4,4,"Keep it Simple, Add more features, More value added services, Better User Interface",Yes
05/11/2020 08:53:35,Male,19 -30,Kandy,Private Sector Job,Degree or above,"150,000 to 200,000",Advertisement,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments",Daily,more than 5Km,Both,1,1,1,1,1,1,3,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 08:53:57,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,5 years or more,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,5,5,5,5,5,5,5,5,5,"Keep it Simple, Lightweight and speed, More value added services, Free demo by the banks",Yes
05/11/2020 08:54:12,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,Both,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Weekly,1Km to 5Km,Both,4,4,1,2,5,5,5,5,3,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:54:26,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Monthly,100m to 1Km,Both,4,3,4,3,3,4,3,4,3,Lightweight and speed,Yes
